Metadata,,,,,,,,,,,,,,,,,,
These are the data from the Drosophila selection experiment published in:,,,,,,,,,,,,,,,,,,
Scheiner SM Caplan RL and Lyman RF. 1989. A search for trade-offs among life history traits in Drosophila melanogaster. Evolutionary Ecology 3:51-63.,,,,,,,,,,,,,,,,,,
See Materials and Methods section for details.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Funding: NIH R01-GM38201,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data columns (each line consists of one F1 female),,,,,,,,,,,,,,,,,,
Col 1 = Sire,,,,,,,,,,,,,,,,,,
Col 2 = Dam,,,,,,,,,,,,,,,,,,
Col 3 = Rearing temperature (19C or 25C),,,,,,,,,,,,,,,,,,
Col 4 = Thorax length (mm),,,,,,,,,,,,,,,,,,
Col 5 = Age at death (days),,,,,,,,,,,,,,,,,,
Col 6 = Age at peak fecundity (days),,,,,,,,,,,,,,,,,,
Col 7 = Peak fecundity (number of eggs),,,,,,,,,,,,,,,,,,
Col 8 = Fecundity during last third of adult life span (number of eggs laid),,,,,,,,,,,,,,,,,,
Col 9 = Total number of eggs laid,,,,,,,,,,,,,,,,,,
Col 10 = Number of eggs laid on days 5-7,,,,,,,,,,,,,,,,,,
Col 11 = Number of eggs laid on days 8-10,,,,,,,,,,,,,,,,,,
Col 12 = Number of eggs laid on days 11-13,,,,,,,,,,,,,,,,,,
Col 13 = Number of eggs laid on days 14-16,,,,,,,,,,,,,,,,,,
Col 14 = Number of eggs laid on days 17-19,,,,,,,,,,,,,,,,,,
Col 15 = Number of eggs laid on days 20-22,,,,,,,,,,,,,,,,,,
Col 16 = Number of eggs laid on days 23-25,,,,,,,,,,,,,,,,,,
Col 17 = Number of eggs laid on days 26-28,,,,,,,,,,,,,,,,,,
Col 18 = Number of eggs laid on days 29-31,,,,,,,,,,,,,,,,,,
Col 19 = Number of eggs laid on days 32-34,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,
_____________________________________________________________________________________________________________________________,,,,,,,,,,,,,,,,,,
1,2,19,1.118,79,11,19.33333,30,457,0,13,42,51,40,51,29,26,41,25
1,2,19,1.101,82,21,15.66667,4,322,12,14,40,20,43,31,47,17,40,19
