Metadata,,,,,,,,,,,,
These are the thorax length bristle number and wing length data from the Drosophila selection experiment published in:,,,,,,,,,,,,
Scheiner SM Caplan RL and Lyman RF. 1991. The genetics of phenotypic plasticity. III. Genetic correlations and fluctuating asymmetries. Journal of Evolutionary Biology 4:51-68.,,,,,,,,,,,,
See Materials and Methods section for details.,,,,,,,,,,,,
,,,,,,,,,,,,
Funding: NIH R01-GM38201,,,,,,,,,,,,
,,,,,,,,,,,,
Data columns,,,,,,,,,,,,
Col 1 = Selection regime (1 = 25C  2 = 19C  3 = Plasticity  4 = Control),,,,,,,,,,,,
Col 2 = Selection direction (1 = Up  2 = Down  3 = Control),,,,,,,,,,,,
Col 3 = Replicate line (1 or 2),,,,,,,,,,,,
Col 4 = Sire,,,,,,,,,,,,
Col 5 = Dam,,,,,,,,,,,,
Col 6 = Rearing temperature (1 = 25C  2 = 19C),,,,,,,,,,,,
Col 7 = Replicate vial within full-sib family and rearing temperature,,,,,,,,,,,,
Col 8 = Individual within vial,,,,,,,,,,,,
Col 9 = Thorax length (mm),,,,,,,,,,,,
Col 10 = Left bristle number,,,,,,,,,,,,
Col 11 = Right bristle number,,,,,,,,,,,,
Col 12 = Left wing length (mm),,,,,,,,,,,,
Col 13 = Right wing length (mm),,,,,,,,,,,,
,,,,,,,,,,,,
Data (Missing data = .),,,,,,,,,,,,
_____________________________________________________________________________________________________________,,,,,,,,,,,,
4,3,1,1,1,1,1,1,.,3,3,2.164982,2.161265
4,3,1,1,1,1,1,2,1.039961,4,3,.,.
4,3,1,1,1,1,1,3,1.082819,3,3,.,.
4,3,1,1,2,1,1,1,1.09244,3,3,2.146615,2.149239
4,3,1,1,2,1,1,2,1.164599,3,3,.,.
4,3,1,1,2,1,1,3,1.115837,3,3,.,.
4,3,1,1,3,1,1,1,1.129832,3,3,2.165857,2.191441
4,3,1,1,3,1,1,2,1.06795,3,3,.,.
4,3,1,1,3,1,1,3,1.110589,3,3,.,.
4,3,1,3,1,1,1,1,1.107747,3,3,2.146396,2.140273
4,3,1,3,1,1,1,2,1.087848,3,3,.,.
4,3,1,3,1,1,1,3,1.05658,3,3,.,.
4,3,1,3,3,1,1,1,1.056361,3,3,2.13437,2.140273
4,3,1,3,3,1,1,2,1.031652,3,3,.,.
4,3,1,3,3,1,1,3,1.091128,3,3,.,.
4,3,1,4,1,1,1,1,1.133986,3,3,2.137868,2.141148
4,3,1,4,1,1,1,2,1.115837,3,3,.,.
4,3,1,4,1,1,1,3,1.111027,3,3,.,.
4,3,1,4,2,1,1,1,1.123053,3,3,2.193408,2.179633
4,3,1,4,2,1,1,2,1.130925,3,3,.,.
4,3,1,4,2,1,1,3,1.086318,3,3,.,.
4,3,1,4,3,1,1,1,1.124365,3,3,2.17198,2.196688
4,3,1,4,3,1,1,2,1.088942,3,4,.,.
4,3,1,4,3,1,1,3,1.112776,3,3,.,.
4,3,1,5,1,1,1,1,1.095064,3,3,2.164982,2.147927
4,3,1,5,1,1,1,2,1.087192,3,3,.,.
4,3,1,5,1,1,1,3,1.075385,3,3,.,.
4,3,1,6,1,1,1,1,1.076697,3,3,2.165201,2.152519
4,3,1,6,1,1,1,2,1.086099,3,3,.,.
4,3,1,6,1,1,1,3,1.061172,3,3,.,.
4,3,1,7,1,1,1,1,1.080195,3,3,2.120594,2.105506
4,3,1,7,1,1,1,2,1.098563,3,3,.,.
4,3,1,7,1,1,1,3,1.100531,3,3,.,.
4,3,1,7,2,1,1,1,1.076259,3,3,2.047123,2.070301
4,3,1,7,2,1,1,2,1.051988,3,3,.,.
4,3,1,7,2,1,1,3,1.099875,3,3,.,.
4,3,1,7,3,1,1,1,1.037337,3,3,2.044936,2.056307
4,3,1,7,3,1,1,2,1.125896,3,3,.,.
4,3,1,7,3,1,1,3,1.086099,3,3,.,.
4,3,1,8,1,1,1,1,1.120867,3,3,2.204779,2.187723
4,3,1,8,1,1,1,2,1.070355,3,3,.,.
4,3,1,9,1,1,1,1,1.04674,3,3,2.00339,2.004046
4,3,1,9,3,1,1,1,1.09244,3,3,2.065709,2.065491
4,3,1,9,3,1,1,2,1.046958,3,3,.,.
