Metadata,,,
These are the data from the Drosophila selection experiment published in:,,,
Scheiner SM and Lyman RF. 1989. The genetics of phenotypic plasticity. I. Heritability. Journal of Evolutionary Biology 2:95-107.,,,
See Materials and Methods section for details.,,,
,,,
Funding: NIH R01-GM38201,,,
,,,
Data columns (each line consists of one F1 female),,,
Col 1 = Sire,,,
Col 2 = Dam,,,
Col 3 = Rearing temperature (19C or 25C),,,
Col 4 = Thorax length (mm),,,
,,,
Data,,,
________________________________________________________________________,,,
1,1,19,1.181
1,1,19,1.129
1,1,19,1.156
1,1,25,1.116
1,1,25,1.121
1,1,25,1.115
1,2,19,1.118
1,2,19,1.115
1,2,19,1.101
1,2,19,1.124
1,2,19,1.168
1,2,19,1.116
1,2,19,1.158
1,2,19,1.142
1,2,19,1.149
1,2,25,1.08
1,2,25,1.055
1,2,25,1.065
1,2,25,1.106
1,2,25,1.131
1,2,25,1.111
1,2,25,1.098
1,2,25,1.128
2,1,19,1.152
2,1,19,1.118
2,1,19,1.137
2,1,19,1.119
2,1,19,1.145
2,1,19,1.099
2,1,25,1.112
2,1,25,1.079
2,1,25,1.063
2,1,25,1.036
2,1,25,1.037
2,1,25,0.94
2,2,19,1.137
2,2,19,1.132
2,2,19,1.128
2,2,19,1.137
2,2,19,1.124
2,2,19,1.022
2,2,19,1.129
2,2,19,1.11
2,2,19,1.1
2,2,19,1.147
2,2,25,1.127
2,2,25,1.053
2,2,25,1.091
2,2,25,1.115
2,2,25,1.106
2,2,25,1.04
3,1,19,1.168
3,1,19,1.103
3,1,19,1.146
3,1,19,1.082
3,1,19,1.11
3,1,19,1.087
3,1,19,1.129
3,1,19,1.14
3,1,25,1.09
3,1,25,1.068
3,1,25,1.089
3,2,19,1.163
3,2,19,1.118
3,2,19,1.157
3,2,19,1.144
3,2,19,1.118
3,2,19,1.132
3,2,25,1.089
3,2,25,1.096
3,2,25,1.04
3,2,25,1.096
3,2,25,1.075
3,2,25,1.083
3,3,19,1.102
3,3,19,1.131
3,3,19,1.136
3,3,19,1.134
3,3,19,1.146
3,3,19,1.11
3,3,19,1.156
3,3,19,1.172
3,3,19,1.133
3,3,25,1.093
3,3,25,1.145
3,3,25,1.124
3,3,25,1.135
3,3,25,1.143
3,3,25,1.059
3,3,25,1.099
4,1,19,1.127
4,1,19,1.087
4,1,19,1.151
4,1,19,1.116
4,1,19,1.139
4,1,19,1.057
4,1,19,1.082
4,1,19,1.017
4,1,19,1.13
4,1,19,1.13
4,1,19,1.113
4,1,25,1.111
4,1,25,1.074
4,1,25,1.126
4,2,19,1.171
4,2,19,1.093
4,2,19,1.094
4,2,19,1.153
4,2,19,1.167
4,2,19,1.139
4,2,19,1.164
4,2,19,1.114
4,2,19,1.124
4,2,25,1.078
4,2,25,1.042
4,2,25,0.876
4,2,25,1.114
4,2,25,1.115
4,2,25,1.144
4,3,19,1.168
4,3,19,1.068
4,3,19,1.097
4,3,19,1.106
4,3,19,1.087
4,3,19,1.123
4,3,25,1.119
4,3,25,1.072
4,3,25,1.121
4,3,25,1.08
4,3,25,1.137
4,3,25,1.099
4,3,25,1.095
4,3,25,1.149
4,3,25,1.105
5,1,19,1.096
5,1,19,1.118
5,1,19,1.122
5,1,19,1.169
5,1,19,1.146
5,1,19,1.154
5,1,25,1.091
5,1,25,1.119
5,1,25,1.141
5,1,25,1.146
5,1,25,1.07
5,1,25,1.089
5,1,25,1.111
5,1,25,1.095
5,1,25,1.097
5,2,19,1.14
5,2,19,1.105
5,2,19,1.144
5,2,19,1.122
5,2,19,1.127
5,2,19,1.114
5,2,19,1.109
5,2,19,1.154
5,2,19,1.121
5,2,25,1.103
5,2,25,1.118
5,2,25,1.09
5,2,25,1.144
5,2,25,1.173
5,2,25,1.147
5,3,19,1.129
5,3,19,1.135
5,3,19,1.098
5,3,19,1.103
5,3,19,1.084
5,3,19,1.069
5,3,19,1.132
5,3,19,1.093
5,3,19,1.124
5,3,25,1.123
5,3,25,1.113
5,3,25,1.073
5,3,25,1.101
5,3,25,1.127
5,3,25,1.121
5,3,25,1.085
5,3,25,1.054
5,3,25,1.037
6,1,19,1.105
6,1,19,1.119
6,1,19,1.075
6,1,19,1.105
6,1,19,1.129
6,1,19,1.059
6,1,19,1.132
6,1,19,1.082
6,1,19,1.098
6,1,25,1.085
6,1,25,1.098
6,1,25,1.113
6,1,25,1.105
6,1,25,1.063
6,1,25,1.139
6,1,25,1.097
6,1,25,1.081
6,1,25,1.105
6,3,19,1.128
6,3,19,1.103
6,3,19,1.097
6,3,19,1.147
6,3,19,1.081
6,3,19,1.091
6,3,19,1.106
6,3,19,1.105
6,3,19,1.108
6,3,25,1.086
6,3,25,1.102
6,3,25,1.044
6,3,25,1.114
6,3,25,1.013
6,3,25,1.092
6,3,25,1.053
6,3,25,1.01
6,3,25,1.011
8,1,19,1.089
8,1,19,1.134
8,1,19,1.135
8,1,19,1.076
8,1,19,1.059
8,1,19,1.144
8,1,19,1.143
8,1,19,1.101
8,1,19,1.124
8,1,25,1.12
8,1,25,1.094
8,1,25,1.069
8,1,25,1.039
8,1,25,1.087
8,1,25,1.088
8,1,25,1.102
8,1,25,1.044
8,1,25,1.063
8,2,19,1.103
8,2,19,1.092
8,2,19,1.095
8,2,25,1.098
8,2,25,1.09
8,2,25,1.095
8,2,25,1.065
8,3,19,1.066
8,3,19,1.107
8,3,19,1.132
8,3,19,1.106
8,3,19,1.104
8,3,19,1.075
8,3,19,1.151
8,3,19,1.093
8,3,19,1.099
8,3,25,1.006
8,3,25,1.1
8,3,25,1.085
8,3,25,1.092
8,3,25,1.012
8,3,25,1.129
8,3,25,1.063
8,3,25,1.081
8,3,25,1.092
9,1,19,1.12
9,1,19,1.024
9,1,19,1.136
9,1,19,1.09
9,1,19,1.138
9,1,19,1.057
9,1,19,1.123
9,1,19,1.139
9,1,19,1.169
9,1,25,1.088
9,1,25,1.097
9,1,25,1.08
9,1,25,1.091
9,1,25,1.071
9,1,25,1.048
9,2,19,1.1
9,2,19,1.086
9,2,19,1.128
9,2,19,1.074
9,2,19,1.089
9,2,19,1.029
9,2,19,1.114
9,2,19,1.055
9,2,19,1.064
9,2,25,1.024
9,2,25,1.066
9,2,25,1.041
9,2,25,1.05
9,2,25,1.045
9,2,25,1.07
9,2,25,1.11
9,3,19,1.108
9,3,19,1.071
9,3,19,1.007
9,3,19,1.051
9,3,19,1.137
9,3,19,1.024
9,3,19,1.132
9,3,19,1.132
9,3,19,1.128
9,3,25,0.972
9,3,25,1.119
9,3,25,1.08
9,3,25,1.105
9,3,25,1.041
9,3,25,1.05
9,3,25,1.09
9,3,25,1.043
9,3,25,0.986
10,1,19,1.095
10,1,19,1.08
10,1,19,1.139
10,1,19,1.103
10,1,19,1.101
10,1,19,1.098
10,1,19,1.125
10,1,19,0.93
10,1,19,1.106
10,1,25,1.099
10,1,25,1.107
10,1,25,1.004
10,1,25,1.105
10,1,25,1.079
10,1,25,1.098
10,1,25,1.08
10,1,25,0.982
10,1,25,1.048
10,2,19,1.07
10,2,19,1.068
10,2,19,1.066
10,2,19,1.069
10,2,19,1.138
10,2,19,1.046
10,2,19,1.104
10,2,19,1.117
10,2,19,0.933
10,2,25,1.094
10,2,25,1.048
10,2,25,1.078
10,2,25,1.021
10,2,25,1.108
10,2,25,1.076
11,1,19,1.147
11,1,19,1.127
11,1,19,1.146
11,1,19,1.146
11,1,19,1.135
11,1,19,1.138
11,1,19,1.133
11,1,19,1.111
11,1,19,1.128
11,1,25,1.105
11,1,25,1.104
11,1,25,1.143
11,1,25,1.015
11,1,25,1.127
11,1,25,1.083
11,2,19,1.092
11,2,19,1.057
11,2,19,1.043
11,2,19,1.124
11,2,19,1.086
11,2,19,1.094
11,2,19,1.078
11,2,19,1.062
11,2,19,1.114
11,2,25,1.096
11,2,25,1.122
11,2,25,1.097
11,2,25,1.091
11,2,25,1.073
11,2,25,1.1
11,3,19,1.137
11,3,19,1.106
11,3,19,1.195
11,3,19,1.126
11,3,19,1.125
11,3,19,1.066
11,3,19,1.129
11,3,19,1.113
11,3,19,1.115
11,3,25,1.079
11,3,25,1.133
11,3,25,1.135
11,3,25,1.135
11,3,25,1.118
11,3,25,1.105
12,1,19,1.129
12,1,19,1.115
12,1,19,1.154
12,1,19,1.119
12,1,19,1.123
12,1,19,1.103
12,1,19,1.128
12,1,19,1.18
12,1,25,1.108
12,1,25,1.11
12,1,25,1.115
12,1,25,1.116
12,1,25,1.117
12,1,25,1.125
12,1,25,1.144
12,1,25,1.102
12,1,25,1.087
12,2,19,1.071
12,2,19,1.136
12,2,19,1.114
12,2,19,1.07
12,2,19,1.135
12,2,19,1.102
12,2,19,1.104
12,2,19,1.093
12,2,19,1.132
12,2,25,1.067
12,2,25,1.085
12,2,25,1.078
12,2,25,1.094
12,2,25,1.097
12,2,25,1.059
12,2,25,1.12
12,2,25,1.125
12,2,25,1.083
12,3,19,1.152
12,3,19,1.117
12,3,19,1.114
12,3,25,1.097
12,3,25,1.068
12,3,25,1.072
13,1,19,1.114
13,1,19,1.083
13,1,19,1.092
13,1,19,1.087
13,1,19,1.058
13,1,19,1.07
13,1,19,1.105
13,1,25,1.105
13,1,25,1.109
13,1,25,1.069
13,1,25,1.112
13,1,25,1.101
13,1,25,1.132
13,1,25,1.102
13,1,25,1.023
13,1,25,1.094
13,2,19,1.124
13,2,19,1.099
13,2,19,1.102
13,2,19,1.122
13,2,19,1.1
13,2,19,1.119
13,2,19,1.098
13,2,25,1.091
13,2,25,1.12
13,2,25,1.086
13,2,25,1.117
13,2,25,1.127
13,2,25,1.083
13,2,25,1.086
13,3,19,1.092
13,3,19,1.099
13,3,19,1.11
13,3,19,1.127
13,3,19,1.078
13,3,19,1.028
13,3,19,1.078
13,3,19,1.022
13,3,19,1.062
13,3,25,1.102
13,3,25,1.079
13,3,25,1.087
13,3,25,1.078
13,3,25,0.944
13,3,25,1.062
14,1,19,1.103
14,1,19,1.102
14,1,19,1.107
14,1,19,1.075
14,1,19,1.13
14,1,19,1.114
14,1,19,1.149
14,1,19,1.114
14,1,19,1.082
14,1,25,1.126
14,1,25,1.087
14,1,25,1.136
14,1,25,1.108
14,1,25,1.062
14,1,25,1.027
14,1,25,1.038
14,1,25,1.027
14,1,25,1.021
14,3,19,1.102
14,3,19,1.147
14,3,19,1.126
14,3,19,1.084
14,3,19,1.071
14,3,19,1.113
14,3,25,1.068
14,3,25,1.092
14,3,25,1.095
14,3,25,1.076
14,3,25,1.068
14,3,25,1.1
