Metadata,,,,,,,,
These are the data from the Drosophila selection experiment published in:,,,,,,,,
Scheiner SM and Lyman RF. 1991. The genetics of phenotypic plasticity. II. Response to selection. Journal of Evolutionary Biology 4:23-50.,,,,,,,,
See Materials and Methods section for details.,,,,,,,,
,,,,,,,,
Funding: NIH R01-GM38201,,,,,,,,
,,,,,,,,
Data columns,,,,,,,,
Col 1 = Selection regime (1 = 25C  2 = 19C  3 = Plasticity  4 = Control),,,,,,,,
Col 2 = Selection direction (1 = Up  2 = Down  3 = Control),,,,,,,,
Col 3 = Replicate line (1 or 2),,,,,,,,
Col 4 = Generation (1-16 for 25C and 19C  -21 or -22 for Plasticity and Control),,,,,,,,
Col 5 = Rearing temperature (1 = 25C  2 = 19C),,,,,,,,
Col 6 = Family,,,,,,,,
Col 7 = Replicate vial within family and rearing temperature,,,,,,,,
Col 8 = Individual within vial,,,,,,,,
Col 9 = Thorax length (mm),,,,,,,,
,,,,,,,,
Data,,,,,,,,
________________________________________________________________________,,,,,,,,
4,3,1,1,1,2,1,1,1.081289
4,3,1,1,1,2,1,2,1.070793
4,3,1,1,1,2,1,3,1.056142
4,3,1,1,1,2,2,7,1.051769
4,3,1,1,1,2,2,8,1.086536
4,3,1,1,1,2,2,9,1.046958
4,3,1,1,1,3,1,1,1.079758
4,3,1,1,1,3,1,2,1.113213
4,3,1,1,1,3,1,3,1.03034
4,3,1,1,1,3,2,7,1.070355
4,3,1,1,1,3,2,8,1.031871
4,3,1,1,1,3,2,9,1.038868
4,3,1,1,1,4,1,1,1.059641
4,3,1,1,1,4,1,2,1.048708
4,3,1,1,1,4,1,3,1.019407
4,3,1,1,1,4,2,7,1.128082
4,3,1,1,1,4,2,8,1.126771
4,3,1,1,1,4,2,9,1.106872
4,3,1,1,1,6,1,1,1.072979
4,3,1,1,1,6,1,2,1.017439
4,3,1,1,1,6,1,3,1.059422
4,3,1,1,1,6,2,7,1.054174
4,3,1,1,1,6,2,8,1.066419
4,3,1,1,1,6,2,9,1.066419
4,3,1,1,1,7,1,1,1.000821
4,3,1,1,1,7,1,2,1.008474
